zone,date,description,score_key,value
boston-msa,2020-02-23,pop_asiapacific,C000_P_c45_AM_autoN_fareY,116421.47
boston-msa,2020-03-15,pop_asiapacific,C000_P_c45_AM_autoN_fareY,116595.79
boston-msa,2020-04-19,pop_asiapacific,C000_P_c45_AM_autoN_fareY,122997.34
boston-msa,2020-05-10,pop_asiapacific,C000_P_c45_AM_autoN_fareY,126309.9
boston-msa,2020-06-21,pop_asiapacific,C000_P_c45_AM_autoN_fareY,123797.54
boston-msa,2020-07-19,pop_asiapacific,C000_P_c45_AM_autoN_fareY,123474.15
boston-msa,2020-08-16,pop_asiapacific,C000_P_c45_AM_autoN_fareY,122610.6
boston-msa,2020-09-20,pop_asiapacific,C000_P_c45_AM_autoN_fareY,115257.98
boston-msa,2020-10-18,pop_asiapacific,C000_P_c45_AM_autoN_fareY,116692.85
boston-msa,2020-11-15,pop_asiapacific,C000_P_c45_AM_autoN_fareY,116737.77
boston-msa,2020-12-20,pop_asiapacific,C000_P_c45_AM_autoN_fareY,124802.66
boston-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoN_fareY,124098.17
boston-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoN_fareY,123442.43
boston-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoN_fareY,129863.695
boston-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoN_fareY,135211.19
boston-msa,2022-03-27,pop_asiapacific,C000_P_c45_AM_autoN_fareY,129644.33
boston-msa,2022-08-07,pop_asiapacific,C000_P_c45_AM_autoN_fareY,122907.96
boston-msa,2020-02-23,pop_black,C000_P_c45_AM_autoN_fareY,105012.25
boston-msa,2020-03-15,pop_black,C000_P_c45_AM_autoN_fareY,106731.945
boston-msa,2020-04-19,pop_black,C000_P_c45_AM_autoN_fareY,115200.14
boston-msa,2020-05-10,pop_black,C000_P_c45_AM_autoN_fareY,118484.9
boston-msa,2020-06-21,pop_black,C000_P_c45_AM_autoN_fareY,122170.805
boston-msa,2020-07-19,pop_black,C000_P_c45_AM_autoN_fareY,123844.42
boston-msa,2020-08-16,pop_black,C000_P_c45_AM_autoN_fareY,119549.85
boston-msa,2020-09-20,pop_black,C000_P_c45_AM_autoN_fareY,105377.43
boston-msa,2020-10-18,pop_black,C000_P_c45_AM_autoN_fareY,107901.445
boston-msa,2020-11-15,pop_black,C000_P_c45_AM_autoN_fareY,108306.96
boston-msa,2020-12-20,pop_black,C000_P_c45_AM_autoN_fareY,112547.85
boston-msa,2021-01-17,pop_black,C000_P_c45_AM_autoN_fareY,110387.04
