block_group,hhld_nocar,hhld_single_mother,hhld_total,hhld_total_w_chld,pop_asiapacific,pop_black,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,pop_total,pop_white,workers_all,workers_essential
250092053004,16,7,302,81,0,0,81,0,13,25,849,755,648,340
250092054001,7,23,714,193,8,25,187,0,32,40,1856,1604,1128,582
250092054002,5,6,533,134,28,12,64,0,52,34,1471,1315,965,491
250092054003,4,0,469,136,32,14,55,0,42,26,1350,1207,944,481
250092055001,157,108,684,273,63,272,695,0,56,354,1944,858,1170,666
250092055002,213,199,926,462,327,336,1857,0,130,733,3031,381,1314,776
250092056001,63,147,378,194,56,149,506,56,42,490,999,190,800,481
250092056002,50,54,302,70,0,19,116,0,103,72,579,341,491,279
250092056003,84,87,505,121,41,148,180,0,29,254,1122,724,804,470
250092056004,42,56,254,110,8,0,161,0,0,163,834,665,336,186
250092057001,19,20,292,113,43,0,176,0,32,102,856,605,445,233
250092057002,29,0,435,116,89,58,302,0,0,62,1247,798,558,295
250092057003,26,6,390,130,55,378,769,0,21,45,1439,216,627,339
250092057004,12,0,188,63,63,13,127,0,126,11,570,241,502,287
250092057005,17,0,262,56,48,32,176,0,122,46,683,305,646,369
250092058001,77,85,423,224,40,93,853,46,29,308,1540,479,588,334
250092058002,50,49,277,120,121,153,411,0,8,279,829,136,556,321
250092058003,72,73,395,205,89,192,744,36,55,108,1581,465,717,408
250092059001,89,78,554,275,58,135,1215,0,79,616,2056,569,882,506
250092059002,69,16,429,131,0,233,459,0,63,298,1222,467,681,404
250092059003,70,28,437,189,359,95,294,0,1,98,1377,628,746,423
250092060001,136,88,466,191,122,261,978,0,41,215,1542,140,723,434
250092060002,170,134,581,270,193,237,888,0,70,498,1719,331,969,581
250092061001,320,117,769,293,238,233,953,0,87,634,1871,360,913,555
250092061002,265,123,635,294,264,277,1267,0,24,538,2105,273,929,571
250092062001,75,105,391,241,51,50,972,0,28,419,1321,220,534,325
250092062002,156,81,808,344,149,352,1762,0,65,308,2684,356,1053,644
250092062003,93,154,479,297,234,338,815,40,20,443,1693,246,841,507
250092063001,43,38,245,145,96,33,372,0,142,142,1107,464,416,249
250092063002,67,34,382,259,0,133,873,0,33,34,1407,368,547,326
250092063003,52,10,294,94,66,271,491,0,0,186,969,141,566,351
250092063004,71,46,406,194,85,264,425,14,12,206,1074,274,577,347
250092064001,39,114,396,199,27,271,762,0,103,144,1336,173,614,360
250092064002,69,96,689,228,174,140,555,0,33,88,1870,968,1097,646
250092064003,27,50,273,102,34,120,334,0,39,91,936,409,620,365
250092064004,39,80,395,140,173,150,465,0,115,212,1299,396,786,475
250092065001,81,34,277,88,0,143,538,0,0,135,905,224,493,302
250092065002,118,153,405,259,51,234,944,0,76,183,1440,135,635,384
250092065003,105,42,361,113,186,243,474,0,11,422,1068,154,576,335
250092066001,130,9,414,99,18,10,293,0,46,24,835,468,536,300
250092066002,119,54,379,97,23,37,127,26,85,121,843,545,395,217
250092066003,155,17,495,88,73,62,195,0,84,152,1083,669,546,311
250092066004,173,112,550,210,118,242,565,0,6,544,1514,583,987,574
250092067001,149,100,489,185,112,71,753,0,10,410,1343,397,858,514
250092067002,116,0,382,0,15,22,219,0,6,88,775,513,373,209
250092067003,111,43,367,103,222,116,178,0,0,252,888,372,376,226
250092067004,183,0,601,70,71,134,584,0,53,222,1221,379,654,366
250092068001,330,127,652,307,182,391,1718,0,24,511,2527,212,895,561
250092068002,442,124,875,200,17,185,994,7,34,539,1689,452,933,552
250092069001,192,0,477,0,0,95,112,0,0,328,677,470,301,184
